labels 0 1 2 3 4 5
4 0.176449 0.076875 0.0707662 0.210534 0.413267 0.0521091
3 0.175519 0.0783564 0.0701405 0.322082 0.310286 0.0436168
4 0.192521 0.0637017 0.0844102 0.278057 0.33219 0.0491201
4 0.289916 0.102486 0.0645964 0.185174 0.297702 0.0601264
4 0.173727 0.0864032 0.0804327 0.228146 0.381487 0.0498034
4 0.172664 0.0819596 0.0638058 0.286268 0.342033 0.0532694
5 0.0476101 0.278097 0.168157 0.0440255 0.06258 0.399531
1 0.159961 0.330884 0.108709 0.182027 0.107956 0.110464
5 0.0385412 0.298175 0.17551 0.0280193 0.048565 0.411189
1 0.171918 0.280017 0.055751 0.115817 0.181858 0.194639
5 0.0682928 0.29781 0.105065 0.0573346 0.0868475 0.38465
5 0.0534705 0.277631 0.192884 0.0345242 0.0569598 0.384531
2 0.0412704 0.192199 0.378288 0.0489911 0.044453 0.294799
2 0.136852 0.07451 0.369705 0.233708 0.11013 0.0750937
2 0.0443091 0.225241 0.362793 0.0416839 0.0589119 0.267061
2 0.0950485 0.0912704 0.390494 0.112552 0.16909 0.141545
2 0.0763055 0.188395 0.467664 0.104848 0.0675794 0.0952081
2 0.0689557 0.0617278 0.42269 0.0866925 0.0859737 0.27396
2 0.212538 0.0952813 0.248152 0.107002 0.231756 0.10527
4 0.246677 0.0694072 0.0575515 0.247237 0.335344 0.0437839
4 0.140548 0.0696942 0.0511052 0.0828852 0.60312 0.0526478
0 0.379988 0.0958231 0.0378874 0.0651066 0.357709 0.0634856
0 0.473037 0.0851353 0.0833916 0.0655962 0.246757 0.0460823
0 0.352678 0.133661 0.158134 0.105765 0.155641 0.0941198
0 0.38632 0.0981346 0.0533473 0.153416 0.255771 0.0530104
3 0.241545 0.146199 0.0941707 0.308912 0.149548 0.0596248
0 0.362761 0.119716 0.073448 0.256529 0.12848 0.0590665
3 0.226284 0.0796221 0.10641 0.376204 0.155304 0.0561751
3 0.282978 0.0708904 0.105567 0.317115 0.173011 0.0504383
3 0.240486 0.101368 0.10837 0.394344 0.106156 0.0492767
2 0.0402952 0.227522 0.335749 0.0355426 0.0546985 0.306193
1 0.0593654 0.385054 0.1382 0.0379048 0.0836932 0.295783
1 0.0474846 0.367527 0.18561 0.034784 0.0577974 0.306797
1 0.0465616 0.409847 0.143493 0.028864 0.0550538 0.31618
5 0.0559119 0.337221 0.153778 0.0433065 0.0685643 0.341218
2 0.0366481 0.257607 0.322196 0.0353039 0.0477632 0.300481
